date,selected_return,selected_alpha,best_return,best_alpha,selected_stocks,risk_power,fold,train_fraction
2026-01-15,-0.017714921287166025,-0.01747426223380374,0.24527348206655786,0.24551414111992015,"601236,000876,601881,601788,600061",1.0,3,0.8
2026-01-16,0.0013165051347456603,-0.010228389825088047,0.23088526246201785,0.21934036750218416,"601881,000651,601236,600918,601788",1.0,3,0.8
2026-01-19,-0.009768312894262447,-0.016283971687800047,0.20747854666233687,0.20096288786879923,"603288,601788,600918,601881,601878",1.0,3,0.8
2025-12-31,0.07803028343011653,0.05384123131303298,0.18652378598778685,0.1623347338707033,"688012,688008,300014,000408,603296",0.0,4,0.85
2026-01-05,0.041420452225730514,0.01830495865500501,0.26898628951986814,0.24587079594914263,"601318,601601,600460,002601,000768",0.0,4,0.85
2026-01-06,0.00021574126233810247,-0.016769355244642323,0.33691780599820104,0.31993270949122066,"000708,300866,002230,600938,600160",0.0,4,0.85
2026-01-07,0.006502711983884779,-0.007143578153421373,0.28087621334635365,0.26722992320904754,"603993,000807,300502,601899,300394",0.0,4,0.85
2026-01-08,0.009621258181775106,0.0029207452084964195,0.29788535061278554,0.29118483763950687,"300308,300502,000408,601138,601899",0.0,4,0.85
2026-01-09,0.032909175862376516,0.03103381788517161,0.15755084491155366,0.15567548693434877,"300308,600372,603993,000301,300502",0.0,4,0.85
2026-01-12,-0.027079032225202505,-0.008421498539758238,0.14529327042293788,0.16395080410838214,"600893,002714,600660,600028,300308",0.0,4,0.85
2026-01-13,0.014706700292416114,0.019101826274229884,0.16472058585351856,0.16911571183533233,"300014,300347,300866,000301,600938",0.0,4,0.85
2026-01-14,0.0014645993581242772,0.0007751236226206312,0.17852480851780125,0.17783533278229763,"300502,600938,600415,601899,002475",0.0,4,0.85
2026-01-15,-0.03281196221017988,-0.032571303156817596,0.24527348206655786,0.24551414111992015,"601899,300502,603993,600989,600438",0.0,4,0.85
2026-01-16,0.0008880624562189254,-0.01065683250361478,0.23088526246201785,0.21934036750218416,"002028,603993,300502,000630,300347",0.0,4,0.85
2026-01-19,-0.013814973562734664,-0.02033063235627227,0.20747854666233687,0.20096288786879923,"600362,603993,002028,600438,300502",0.0,4,0.85
2026-01-20,0.0026179754779322275,-0.002706115708631543,0.1729470058889458,0.167622914702382,"600362,300502,688506,002028,300394",0.0,4,0.85
2026-01-21,0.028319846273263984,0.028213950645563656,0.2024044885426683,0.20229859291496796,"002028,603993,002916,601899,300408",0.0,4,0.85
2026-01-22,0.04284341349413997,0.04388303945882748,0.27125068379727557,0.27229030976196306,"600362,600438,300014,603993,688506",0.0,4,0.85
2026-01-23,0.027047966516611215,0.03203453841749533,0.16289600838473506,0.16788258028561917,"600362,002311,688506,000568,600000",0.0,4,0.85
2026-01-26,-0.009374589232278631,0.006950399282587538,0.15462156307458236,0.17094655158944852,"002028,300803,300014,688506,300750",0.0,4,0.85
2026-01-27,-0.0566308593684006,-0.03331232195484602,0.11314558748933708,0.13646412490289164,"300014,600362,300803,603993,002916",0.0,4,0.85
2026-01-28,-0.009201722725757783,0.007433133632030645,0.16432607287971857,0.18096092923750698,"300274,300014,300832,002916,300502",0.0,4,0.85
2026-01-29,-0.0052314602858424385,0.0035121007383497474,0.17283008649130413,0.18157364751549632,"300274,600362,300866,300014,300832",0.0,4,0.85
2026-01-30,-0.04765165485667702,-0.04576812632987376,0.15552889455831323,0.15741242308511652,"300274,300347,000708,601857,600460",0.0,4,0.85
2026-02-02,0.006964686596149602,-0.012204555282624633,0.19698270029187018,0.17781345841309593,"603986,600547,601328,002028,600362",0.0,4,0.85
2026-02-03,0.01726360688594313,9.205575157477316e-05,0.1426844724464943,0.12551292131212594,"688256,002384,600031,300274,601127",0.0,4,0.85
2026-02-04,0.012516418209050867,0.0013472941630953133,0.17722738237705413,0.16605825833109858,"601398,003816,600025,601939,601328",0.0,4,0.85
2026-02-05,0.03244266580970688,0.011200780271713482,0.20858803830840592,0.1873461527704125,"601398,000975,601288,600547,601939",0.0,4,0.85
2026-02-06,-0.01799510364736444,-0.020268646320036467,0.19027342720341714,0.18799988453074512,"600362,300308,000975,300502,300274",0.0,4,0.85
2026-02-09,-0.007794560976294459,-0.009941097518853196,0.18041534829876768,0.17826881175620896,"688506,000001,300502,003816,601398",0.0,4,0.85
2026-02-10,-0.014653351540972573,-0.017409966488828324,0.18984816060369353,0.18709154565583777,"601398,601818,601916,600015,601816",0.0,4,0.85
2026-02-11,-0.014019690109285063,-0.02044764103531998,0.1678312883532455,0.1614033374272106,"601398,601916,688256,601288,300803",0.0,4,0.85
2026-02-12,-0.011366931341672184,-0.01733938670135125,0.22422626872474866,0.21825381336506963,"601398,688256,601328,601166,600887",0.0,4,0.85
2026-02-13,-0.025764725389831204,-0.02807941521931011,0.2116966129724461,0.20938192314296716,"601988,300502,601398,600015,601658",0.0,4,0.85
2026-02-24,0.019713546147359033,0.009711363143620377,0.2706544904661314,0.2606523074623927,"688256,601988,601398,300502,601998",0.0,4,0.85
2026-02-25,-0.009988387709329725,0.012039710581742353,0.25157961939353357,0.2736077176846056,"688256,601988,688506,601398,601328",0.0,4,0.85
2026-02-26,-0.029080180976203955,-0.01900280432638063,0.19011988637023405,0.2001972630200574,"688506,605499,600023,601998,601988",0.0,4,0.85
2026-02-27,0.0487192172677342,0.06589518603562798,0.13185058072896114,0.14902654949685493,"300502,300308,688506,601988,601288",0.0,4,0.85
2026-03-02,0.02197334106057948,0.044561988380052896,0.1527671499407832,0.1753557972602566,"601988,601398,601916,600025,601998",0.0,4,0.85
2026-03-03,0.01930430487450636,0.011193572357466219,0.19961614167928196,0.1915054091622418,"300316,688506,601888,603986,688008",0.0,4,0.85
2026-03-04,0.02783871059109459,0.021554535341151752,0.18236475306772754,0.1760805778177847,"688506,688008,300316,300502,603986",0.0,4,0.85
2026-03-05,0.00016620297846704126,-0.018798543580646126,0.24456221893692334,0.2255974723778102,"300316,600547,688008,300408,603986",0.0,4,0.85
2026-03-06,0.026472319943866125,0.013358458054434997,0.21674023670496712,0.20362637481553597,"300316,300394,688008,300408,000792",0.0,4,0.85
2025-12-31,0.09110418295429434,0.06691513083721079,0.18652378598778685,0.1623347338707033,"688012,300033,688008,000938,600584",0.25,4,0.85
2026-01-05,0.033789124980914166,0.010673631410188658,0.26898628951986814,0.24587079594914263,"600999,600061,000768,601788,600030",0.25,4,0.85
2026-01-06,-0.004076216967080314,-0.02106131347406074,0.33691780599820104,0.31993270949122066,"600061,600104,601066,601788,600918",0.25,4,0.85
